K,lr,weight_decay,hidden_channels,heads,val_avg_distance,test_avg_distance
8,0.001,0.0005,128,1,0.3490239381790161,0.5258505344390869
5,0.01,0.0005,32,1,0.36027926206588745,0.5305876135826111
5,0.001,1e-05,128,1,0.3163096010684967,0.5311283469200134
5,0.001,0.0005,128,1,0.36440038681030273,0.5372540354728699
5,0.001,0.0005,32,3,0.37132972478866577,0.540269672870636
8,0.001,1e-05,128,1,0.2971475422382355,0.5521394610404968
8,0.001,0.0005,128,3,0.3637472987174988,0.5605777502059937
8,0.001,0.0005,32,3,0.401631623506546,0.5617705583572388
5,0.001,1e-05,32,3,0.3898054361343384,0.5633647441864014
8,0.001,1e-05,128,3,0.3593466281890869,0.5662694573402405
5,0.001,0.0005,128,3,0.3710034489631653,0.567884087562561
8,0.001,0.0005,32,1,0.3613736033439636,0.5723153948783875
8,0.001,1e-05,32,3,0.4285617470741272,0.5743085741996765
5,0.001,0.0005,32,1,0.3684120774269104,0.5800427794456482
5,0.001,1e-05,128,3,0.3236646354198456,0.585199236869812
8,0.001,1e-05,32,1,0.3862353563308716,0.5873996019363403
5,0.001,1e-05,32,1,0.39483755826950073,0.6000039577484131
5,0.01,1e-05,32,1,0.38981953263282776,0.6170507073402405
8,0.01,1e-05,128,3,0.42329642176628113,0.6226419806480408
8,0.01,0.0005,128,3,0.4742622375488281,0.6412712931632996
8,0.01,1e-05,128,1,0.3269781470298767,0.6657469868659973
5,0.01,1e-05,128,3,0.4126601815223694,0.6742287874221802
5,0.01,1e-05,128,1,0.3900719881057739,0.6819760799407959
8,0.01,1e-05,32,3,0.4053384065628052,0.6839547753334045
8,0.01,1e-05,32,1,0.40135109424591064,0.6926417350769043
8,0.01,0.0005,32,3,0.4207489490509033,0.7002078890800476
5,0.01,1e-05,32,3,0.42763620615005493,0.7666927576065063
5,0.01,0.0005,128,1,0.40339195728302,0.7832117676734924
5,0.01,0.0005,32,3,0.4037999212741852,0.7929224967956543
8,0.01,0.0005,32,1,0.40581995248794556,0.8176669478416443
8,0.01,0.0005,128,1,0.40411627292633057,0.8950861096382141
5,0.01,0.0005,128,3,0.6339178085327148,1.3868683576583862
